TSR,-5°,-4.5°,-4°,-3.5°,-3°,-2.5°,-2°,-1.5°,-1°,-0.5°,0°,0.5°,1°,1.5°,2°,2.5°,3°,3.5°,4°,4.5°,5°
3.766323064,0.1214,0.1292,0.137,0.14415,0.1513,0.1582,0.1651,0.17175,0.1784,0.18464999999999998,0.1909,0.19669999999999999,0.2025,0.2078,0.2131,0.2175,0.2219,0.22455,0.2272,0.22810000000000002,0.229
3.844788128,0.1292,0.13705,0.1449,0.1523,0.1597,0.1669,0.1741,0.18095,0.1878,0.19419999999999998,0.2006,0.20155,0.2025,0.21295,0.2234,0.22754999999999997,0.2317,0.23375,0.2358,0.2365,0.2372
3.954639217,0.14,0.14805000000000001,0.1561,0.16394999999999998,0.1718,0.17935,0.1869,0.19405,0.2012,0.2079,0.2146,0.2208,0.227,0.2324,0.2378,0.24130000000000001,0.2448,0.24625,0.2477,0.24845,0.2492
3.954639217,0.14,0.14805000000000001,0.1561,0.16394999999999998,0.1718,0.17935,0.1869,0.19405,0.2012,0.2079,0.2146,0.2208,0.227,0.2324,0.2378,0.24130000000000001,0.2448,0.24625,0.2477,0.24845,0.2492
3.954639217,0.14,0.14805000000000001,0.1561,0.16394999999999998,0.1718,0.17935,0.1869,0.19405,0.2012,0.2079,0.2146,0.2208,0.227,0.2324,0.2378,0.24130000000000001,0.2448,0.24625,0.2477,0.24845,0.2492
4.056040223,0.1499,0.15835,0.1668,0.17504999999999998,0.1833,0.19115,0.199,0.20645000000000002,0.2139,0.22085,0.2278,0.23425,0.2407,0.24585,0.251,0.2538,0.2566,0.25785,0.2591,0.25985,0.2606
4.119415851,0.1562,0.16494999999999999,0.1737,0.1822,0.1907,0.1987,0.2067,0.21434999999999998,0.222,0.22915000000000002,0.2363,0.24285,0.2494,0.2542,0.259,0.26139999999999997,0.2638,0.26515,0.2665,0.2672,0.2679
4.119415851,0.1562,0.16494999999999999,0.1737,0.1822,0.1907,0.1987,0.2067,0.21434999999999998,0.222,0.22915000000000002,0.2363,0.24285,0.2494,0.2542,0.259,0.26139999999999997,0.2638,0.26515,0.2665,0.2672,0.2679
4.194314322,0.1637,0.1728,0.1819,0.1906,0.1993,0.2076,0.2159,0.2238,0.2317,0.23915,0.2466,0.2531,0.2596,0.2593,0.259,0.26580000000000004,0.2726,0.27395,0.2753,0.2758,0.2763
4.237113447,0.1681,0.1774,0.1867,0.19555,0.2044,0.21284999999999998,0.2213,0.22935,0.2374,0.24495,0.2525,0.25895,0.2654,0.26955,0.2737,0.27575,0.2778,0.2791,0.2804,0.28064999999999996,0.2809
